"id","sire","dam","generation","sex","tank","age","weight","period"
2801,2485,2580,7,1,4,1,464.5,8
2802,2485,2580,7,2,3,1,395.1,7
2803,2485,2580,7,1,4,1,447.5,8
2804,2485,2580,7,2,4,1,450.9,8
2805,2485,2580,7,1,3,1,421.4,7
2806,2485,2580,7,2,3,1,500.6,8
2807,2485,2580,7,1,3,1,508.1,7
2808,2485,2580,7,2,1,1,471.1,8
2809,2485,2784,7,1,4,1,488.3,8
2810,2485,2784,7,2,4,1,426.5,7
2811,2485,2784,7,1,2,1,404.5,7
2812,2485,2784,7,2,3,1,452.7,7
2813,2485,2784,7,1,4,1,401.9,7
2814,2485,2784,7,2,3,1,392.7,8
2815,2485,2784,7,1,2,1,482.1,7
2816,2485,2784,7,2,1,1,443.8,8
2817,2485,2462,7,1,3,1,588,8
2818,2485,2462,7,2,4,1,395.6,7
2819,2485,2462,7,1,1,1,453.6,7
2820,2485,2462,7,2,3,1,523.5,7
2821,2485,2462,7,1,3,1,486.3,7
2822,2485,2462,7,2,1,1,487.2,8
2823,2485,2462,7,1,2,1,510.6,7
2824,2485,2462,7,2,3,1,433.6,7
2825,2485,2704,7,1,4,1,356.5,7
2826,2485,2704,7,2,4,1,262.1,8
2827,2485,2704,7,1,1,1,390.7,8
2828,2485,2704,7,2,2,1,437.8,7
2829,2485,2704,7,1,3,1,517.9,8
2830,2485,2704,7,2,1,1,401.9,8
2831,2485,2704,7,1,3,1,367.1,7
2832,2485,2704,7,2,2,1,378.7,8
2833,2485,2746,7,1,1,1,375.7,7
2834,2485,2746,7,2,2,1,433.9,8
2835,2485,2746,7,1,3,1,435.3,8
2836,2485,2746,7,2,1,1,397.8,7
2837,2485,2746,7,1,3,1,500.5,8
2838,2485,2746,7,2,3,1,434.1,7
2839,2485,2746,7,1,1,1,398.9,8
2840,2485,2746,7,2,1,1,362.1,7
2841,2597,2540,7,1,4,1,450.8,8
2842,2597,2540,7,2,4,1,445.6,7
2843,2597,2540,7,1,3,1,560,8
2844,2597,2540,7,2,1,1,481.8,8
2845,2597,2540,7,1,1,1,406.3,7
2846,2597,2540,7,2,1,1,392.3,7
2847,2597,2540,7,1,2,1,547.5,7
2848,2597,2540,7,2,2,1,516.1,8
2849,2597,2686,7,1,4,1,446.1,8
2850,2597,2686,7,2,2,1,467.4,8
2851,2597,2686,7,1,3,1,542.4,7
2852,2597,2686,7,2,2,1,504.8,7
2853,2597,2686,7,1,4,1,435.4,8
2854,2597,2686,7,2,1,1,379.3,8
2855,2597,2686,7,1,1,1,419.5,7
2856,2597,2686,7,2,2,1,492.3,7
2857,2597,2752,7,1,4,1,498.8,7
2858,2597,2752,7,2,3,1,503.4,7
2859,2597,2752,7,1,4,1,470.6,8
2860,2597,2752,7,2,3,1,483.5,8
2861,2597,2752,7,1,3,1,594,8
2862,2597,2752,7,2,2,1,538.4,8
2863,2597,2752,7,1,4,1,495.1,7
2864,2597,2752,7,2,1,1,362.6,7
2865,2597,2584,7,1,3,1,477.3,7
2866,2597,2584,7,2,2,1,487.8,7
2867,2597,2584,7,1,4,1,514.1,8
2868,2597,2584,7,2,2,1,466.2,8
2869,2597,2584,7,1,3,1,502.9,7
2870,2597,2584,7,2,2,1,443,8
2871,2597,2584,7,1,4,1,520.8,8
2872,2597,2584,7,2,1,1,488.9,8
2873,2597,2414,7,1,1,1,543.4,8
2874,2597,2414,7,2,1,1,439.5,7
2875,2597,2414,7,1,4,1,458.5,7
2876,2597,2414,7,2,4,1,423.5,8
2877,2597,2414,7,1,2,1,477.1,8
2878,2597,2414,7,2,4,1,429.7,8
2879,2597,2414,7,1,3,1,550.3,8
2880,2597,2414,7,2,3,1,590.6,7
2881,2487,2460,7,1,3,1,477.9,8
2882,2487,2460,7,2,4,1,455.7,7
2883,2487,2460,7,1,3,1,557.5,8
2884,2487,2460,7,2,2,1,454.2,7
2885,2487,2460,7,1,2,1,479.4,7
2886,2487,2460,7,2,1,1,500.8,7
2887,2487,2460,7,1,1,1,474.8,8
2888,2487,2460,7,2,2,1,535.3,7
2889,2487,2654,7,1,3,1,530.6,8
2890,2487,2654,7,2,2,1,517.3,8
2891,2487,2654,7,1,4,1,448.4,8
2892,2487,2654,7,2,3,1,412.7,8
2893,2487,2654,7,1,2,1,405.3,7
2894,2487,2654,7,2,2,1,442.6,8
2895,2487,2654,7,1,2,1,430,7
2896,2487,2654,7,2,1,1,424.8,8
2897,2487,2692,7,1,3,1,526.4,8
2898,2487,2692,7,2,4,1,486.4,7
2899,2487,2692,7,1,1,1,483.9,8
2900,2487,2692,7,2,1,1,447.1,8
2901,2487,2692,7,1,4,1,388.5,8
2902,2487,2692,7,2,2,1,404,7
2903,2487,2692,7,1,1,1,484.8,8
2904,2487,2692,7,2,3,1,444,8
2905,2487,2520,7,1,3,1,395.7,7
2906,2487,2520,7,2,4,1,368.7,8
2907,2487,2520,7,1,3,1,564.4,8
2908,2487,2520,7,2,2,1,552.9,7
2909,2487,2520,7,1,1,1,455,8
2910,2487,2520,7,2,3,1,572.2,8
2911,2487,2520,7,1,4,1,539.4,8
2912,2487,2520,7,2,2,1,455.7,8
2913,2487,2796,7,1,4,1,477.3,7
2914,2487,2796,7,2,4,1,410.6,7
2915,2487,2796,7,1,2,1,549.6,7
2916,2487,2796,7,2,4,1,330.2,8
2917,2487,2796,7,1,1,1,543,7
2918,2487,2796,7,2,2,1,429.2,7
2919,2487,2796,7,1,2,1,520.5,7
2920,2487,2796,7,2,1,1,390.5,8
2921,2727,2582,7,1,2,1,541.2,7
2922,2727,2582,7,2,1,1,445.1,8
2923,2727,2582,7,1,1,1,508.5,7
2924,2727,2582,7,2,2,1,449.2,8
2925,2727,2582,7,1,4,1,471.5,7
2926,2727,2582,7,2,2,1,558.9,7
2927,2727,2582,7,1,4,1,468.4,8
2928,2727,2582,7,2,3,1,590.2,7
2929,2727,2610,7,1,1,1,442,7
2930,2727,2610,7,2,4,1,444.3,8
2931,2727,2610,7,1,4,1,511.4,7
2932,2727,2610,7,2,1,1,471.9,7
2933,2727,2610,7,1,3,1,487.8,7
2934,2727,2610,7,2,2,1,515.1,8
2935,2727,2610,7,1,4,1,489.7,8
2936,2727,2610,7,2,2,1,526.9,7
2937,2727,2748,7,1,2,1,514.6,8
2938,2727,2748,7,2,1,1,439.9,7
2939,2727,2748,7,1,1,1,490.3,8
2940,2727,2748,7,2,2,1,436.3,8
2941,2727,2748,7,1,2,1,420.3,8
2942,2727,2748,7,2,3,1,535.4,7
2943,2727,2748,7,1,3,1,545.8,8
2944,2727,2748,7,2,1,1,471.6,7
2945,2727,2614,7,1,2,1,518.9,7
2946,2727,2614,7,2,4,1,503.2,8
2947,2727,2614,7,1,3,1,537.4,7
2948,2727,2614,7,2,1,1,475.9,8
2949,2727,2614,7,1,2,1,466.4,8
2950,2727,2614,7,2,1,1,445.2,7
2951,2727,2614,7,1,3,1,556,8
2952,2727,2614,7,2,2,1,444.5,8
2953,2727,2732,7,1,2,1,498.7,7
2954,2727,2732,7,2,4,1,480.4,8
2955,2727,2732,7,1,4,1,500.7,7
2956,2727,2732,7,2,4,1,416.4,8
2957,2727,2732,7,1,4,1,514.3,7
2958,2727,2732,7,2,4,1,456.7,7
2959,2727,2732,7,1,3,1,541.3,8
2960,2727,2732,7,2,3,1,481.3,8
2961,2713,2486,7,1,2,1,521.7,7
2962,2713,2486,7,2,2,1,369.9,7
2963,2713,2486,7,1,2,1,553.3,7
2964,2713,2486,7,2,2,1,469.3,8
2965,2713,2486,7,1,4,1,480.4,7
2966,2713,2486,7,2,4,1,394.4,7
2967,2713,2486,7,1,4,1,444.9,8
2968,2713,2486,7,2,3,1,427,8
2969,2713,2538,7,1,3,1,500.4,8
2970,2713,2538,7,2,2,1,420.4,7
2971,2713,2538,7,1,3,1,488.8,7
2972,2713,2538,7,2,1,1,491.9,7
