"id","sire","dam","gen","sex","tank","bwt","fwt","minl","period"
1,0,0,0,1,4,196.4,214.9,630.2,0
2,0,0,0,2,2,145.6,97.3,628.4,1
3,0,0,0,1,1,140.9,175.2,584,0
4,0,0,0,2,3,91.6,117.2,615.1,0
5,0,0,0,1,3,127.2,107.4,626.8,0
6,0,0,0,2,4,185.9,154.1,554.1,0
7,0,0,0,1,1,117.9,183.6,661.7,0
8,0,0,0,2,4,135.1,130.9,634.8,0
9,0,0,0,1,1,133.3,83.1,579.8,0
10,0,0,0,2,1,171.6,182,614.8,1
11,0,0,0,1,4,144.1,124,616,0
12,0,0,0,2,4,136.7,146.7,570.2,1
13,0,0,0,1,2,115,107.4,618.6,1
14,0,0,0,2,4,105.8,131.3,579.3,0
15,0,0,0,1,2,132.9,138.6,634.5,0
16,0,0,0,2,1,157.9,143.7,632.4,1
17,0,0,0,1,4,91,121.6,637,0
18,0,0,0,2,1,123,100.7,625.2,0
19,0,0,0,1,2,139.1,130.1,666.5,0
20,0,0,0,2,4,167.7,145.8,613.5,1
21,0,0,0,1,2,157.7,186.7,588.6,0
22,0,0,0,2,2,196.4,181.8,601.8,0
23,0,0,0,1,3,88.9,92.6,646.7,0
24,0,0,0,2,2,187.4,104.3,633.5,0
25,0,0,0,1,1,183.1,139,597,0
26,0,0,0,2,2,125.1,129.2,556.4,1
27,0,0,0,1,3,114,149.8,683.3,0
28,0,0,0,2,4,136.3,136.6,562.8,1
29,0,0,0,1,3,120.3,124.1,636.9,1
30,0,0,0,2,3,140,101.4,597.6,0
31,0,0,0,1,4,184.9,150.7,553.1,0
32,0,0,0,2,2,136.4,122.5,585.9,1
33,0,0,0,1,1,148.6,141.5,595.5,1
34,0,0,0,2,2,134.8,137.4,601.7,0
35,0,0,0,1,2,153.8,142.2,593.2,1
36,0,0,0,2,2,176.9,140.2,655.6,0
37,0,0,0,1,1,115.5,116.2,572.6,1
38,0,0,0,2,1,133.1,115.2,582.3,0
39,0,0,0,1,1,143.4,120.1,618.6,0
40,0,0,0,2,1,122,102,535.7,0
41,0,0,0,1,4,155.9,159.5,595.8,0
42,0,0,0,2,4,119.9,161.1,571.7,1
43,0,0,0,1,1,148.1,127,591.9,0
44,0,0,0,2,2,144,179.2,593.2,0
45,0,0,0,1,1,166.5,96.5,647.8,1
46,0,0,0,2,2,133.9,59.5,632.5,0
47,0,0,0,1,3,139.2,136.9,659.1,1
48,0,0,0,2,3,122.4,133.9,564.7,1
49,0,0,0,1,1,134.7,183.7,555.5,1
50,0,0,0,2,2,161.7,150.1,617.6,0
