"id","sire","dam","sex","pou","hw","dage","bwt","eggs"
11485,2789,2788,1,2,2,45,2630,NA
2783,1292,1291,2,2,4,42,2400,151
11481,1292,1291,2,2,4,42,2450,142
11479,1292,2782,2,2,3,42,2220,92
11480,1292,2782,2,2,2,42,2250,123
11484,2787,2786,1,2,3,42,2680,NA
11483,2787,2785,2,2,3,42,2260,100
11477,2780,2779,2,2,2,42,2180,156
11475,2780,2779,2,2,4,42,2230,131
11476,2780,2779,2,2,3,42,2210,154
2781,1292,1290,1,2,4,42,2560,NA
11478,1292,1290,2,2,4,42,2220,152
11482,2787,2784,2,2,3,42,2100,128
11472,2774,2773,2,2,2,39,2190,110
11469,1289,2770,2,2,2,39,2250,130
2766,1287,1286,2,2,4,39,2260,110
11458,1287,1286,2,2,3,39,2150,147
11457,1287,1286,2,2,3,39,2200,140
11473,2776,2775,2,2,3,39,2260,111
11474,2778,2777,2,2,4,39,2120,154
11471,2774,2772,2,2,2,39,2180,93
11456,1287,2765,2,2,2,39,2260,105
11467,1289,1288,2,2,2,39,2290,77
2769,1289,1288,1,2,4,39,2620,NA
11468,1289,1288,2,2,2,39,2140,80
11465,1289,1288,2,2,4,39,2140,117
11466,1289,1288,2,2,3,39,2060,127
2736,1289,1288,2,5,7,42,2210,130
11462,1289,2768,2,2,3,39,2130,143
11461,1289,2768,2,2,4,39,2240,138
11464,1289,2768,2,2,2,39,2230,135
11463,1289,2768,2,2,3,39,2200,119
11459,1289,2767,1,2,4,39,2580,NA
11460,1289,2767,1,2,4,39,2640,NA
11470,2774,2771,2,2,2,39,2360,99
11317,2778,2701,2,8,8,45,2320,133
11452,1284,2762,2,2,3,36,2300,94
11451,1284,2762,2,2,4,36,2100,123
2698,33,1285,1,8,9,42,2800,NA
11454,33,1285,2,2,2,36,2180,83
11311,31,1282,2,8,8,42,2260,90
11309,31,1282,2,8,10,42,2150,124
11308,31,1282,1,8,10,42,2510,NA
11393,31,1282,1,5,7,39,2590,NA
11310,31,1282,2,8,8,42,2260,131
2735,31,1282,2,5,6,39,2270,137
11312,31,1282,2,8,8,42,2340,138
11313,31,1282,2,8,8,42,2200,117
11445,31,1282,1,2,2,36,2600,NA
11442,31,1282,1,2,4,36,2660,NA
11444,31,1282,2,2,4,36,2110,127
11443,31,1282,2,2,4,36,2320,150
2757,31,1282,2,2,4,36,2170,128
11392,31,1282,2,5,7,39,1940,95
11446,31,1282,2,2,2,36,2210,108
11455,2764,2763,2,2,2,36,2280,94
11231,31,30,1,11,11,45,2630,NA
11389,31,30,2,5,7,39,2020,120
11439,31,30,2,2,4,36,2220,140
11441,31,30,2,2,3,36,1950,133
11440,31,30,2,2,4,36,2130,150
11307,31,30,1,8,10,42,2740,NA
11388,31,30,2,5,7,39,2140,107
11390,31,30,1,5,6,39,2550,NA
11391,31,30,2,5,6,39,2100,126
96,31,30,2,5,5,39,2230,165
11387,31,30,1,5,7,39,2390,NA
176,99,98,1,2,2,36,2600,NA
11448,2759,2758,1,2,2,36,2650,NA
11447,2759,2758,2,2,3,36,2170,137
11394,2759,2758,2,5,7,39,2140,131
11306,31,29,1,8,8,42,2780,NA
11385,31,29,2,5,6,39,2020,134
2755,31,29,1,2,4,36,2570,NA
11304,31,29,2,8,10,42,2060,131
11438,31,29,2,2,3,36,2000,107
2756,31,29,2,2,2,36,2140,153
100,31,29,2,2,2,36,2380,111
791,31,29,1,5,7,39,2410,NA
1261,31,29,2,8,8,42,2130,138
1260,31,29,1,8,9,42,2530,NA
1269,31,29,2,5,6,39,2150,148
11305,31,29,2,8,8,42,2220,141
11386,31,29,2,5,5,39,2270,138
11229,31,29,1,11,11,45,2720,NA
167,31,29,1,11,11,45,2530,NA
11230,31,29,1,11,11,45,2730,NA
11437,31,29,2,2,4,36,2150,124
576,31,29,2,8,10,42,2110,87
11384,31,2754,2,5,7,39,2050,127
11435,31,2754,2,2,4,36,2090,146
11436,31,2754,1,2,2,36,2750,NA
11383,31,2754,2,5,7,39,2020,115
11450,1284,2761,2,2,2,36,2030,94
11382,31,2734,2,5,7,39,2140,123
11302,31,2734,2,8,9,42,2040,67
11303,31,2734,2,8,8,42,2110,122
11316,2700,2699,2,8,10,42,2340,129
11301,31,2733,2,8,9,42,2210,137
11381,31,2733,2,5,7,39,2000,55
11449,1284,1283,2,2,2,36,2350,116
2760,1284,1283,2,2,2,36,2270,138
1270,33,32,2,5,5,39,2200,138
11395,33,32,1,5,7,39,2380,NA
11396,33,32,2,5,7,39,2200,110
101,33,32,2,2,2,36,2210,161
11453,33,32,2,2,4,36,2390,134
177,33,32,2,2,2,36,2320,103
11315,33,32,2,8,10,42,2300,111
11314,33,2697,2,8,9,42,2220,154
11434,28,2753,2,2,2,33,2340,128
1259,14,790,2,8,8,39,2180,144
2730,14,790,2,5,5,36,2230,158
2694,14,1258,2,8,9,39,2300,128
2695,14,1258,2,8,9,39,2080,136
11227,14,1258,2,11,13,42,2040,107
11228,14,1258,2,11,12,42,2120,137
11299,14,1258,2,8,9,39,2090,81
2696,14,1258,2,8,8,39,2170,132
11300,14,1258,2,8,8,39,2370,102
11285,22,2724,2,8,10,39,2190,124
11365,22,2724,2,5,6,36,2300,126
11364,22,2724,2,5,7,36,2240,109
11216,22,2724,1,11,11,42,2700,NA
11214,22,2724,2,11,12,42,2280,136
11366,22,2724,2,5,5,36,2280,114
11215,22,2724,2,11,11,42,2240,136
11373,25,2750,2,5,5,36,2050,130
11430,25,2750,2,2,2,33,2200,151
11226,14,2669,1,11,11,42,2500,NA
11284,22,2691,2,8,8,39,2210,90
11283,22,2691,2,8,10,39,2130,114
11380,361,1268,2,5,6,36,1940,139
2732,361,1268,2,5,7,36,2020,120
11429,25,1281,2,2,2,33,2200,127
11428,25,1281,1,2,2,33,2610,NA
2692,25,1281,2,8,10,39,2010,145
11288,25,1281,2,8,8,39,2190,77
2727,25,1281,2,5,7,36,2290,100
11372,25,1281,2,5,5,36,2360,80
11213,22,21,1,11,12,42,2540,NA
11363,22,21,2,5,5,36,2170,103
11362,22,21,1,5,5,36,2750,NA
11360,22,21,2,5,6,36,2080,55
2723,22,21,1,5,6,36,2730,NA
11358,22,21,2,5,7,36,2000,129
11419,22,21,2,2,2,33,2180,90
173,22,21,1,2,2,33,2740,NA
11138,22,21,1,14,14,45,2520,NA
11361,22,21,1,5,5,36,2780,NA
11420,22,21,1,2,2,33,2680,NA
1255,22,21,2,8,8,39,2280,131
2665,22,21,2,11,11,42,2360,135
775,22,21,1,14,14,45,2680,NA
575,22,21,2,14,14,45,2140,128
11281,22,21,1,8,8,39,2620,NA
11139,22,21,2,14,14,45,2510,31
11212,22,21,2,11,13,42,2020,121
83,22,21,1,11,13,42,2570,NA
2748,22,21,2,2,3,33,2080,129
11359,22,21,1,5,6,36,2210,NA
2664,22,21,2,11,11,42,2280,89
11279,22,21,2,8,10,39,2240,93
11280,22,21,1,8,10,39,2850,NA
11418,22,21,2,2,4,33,2180,98
11417,22,21,2,2,4,33,2400,98
11282,22,21,1,8,8,39,2600,NA
11298,14,1267,1,8,9,39,2510,NA
11223,14,1267,2,11,13,42,2160,99
11379,14,1267,2,5,6,36,1750,99
11295,14,1267,2,8,10,39,2090,103
11378,14,1267,1,5,7,36,2410,NA
11297,14,1267,2,8,9,39,2060,93
11296,14,1267,1,8,9,39,2450,NA
2693,14,1267,1,8,10,39,2470,NA
11224,14,1267,2,11,12,42,2150,134
11225,14,1267,1,11,11,42,2510,NA
165,25,94,2,11,13,42,2250,127
11143,25,94,2,14,14,45,2270,118
776,25,94,2,14,14,45,2250,154
11371,25,94,2,5,7,36,2300,128
11294,14,579,1,8,9,39,2700,NA
789,14,579,2,5,7,36,2020,150
11427,25,2749,2,2,2,33,2160,156
11142,25,2749,2,14,14,45,2170,140
11370,25,24,2,5,5,36,2240,151
93,25,24,1,5,6,36,2470,NA
11369,25,24,2,5,6,36,2000,131
11368,25,24,2,5,7,36,2250,122
11423,25,24,1,2,4,33,2550,NA
11424,25,24,1,2,4,33,2450,NA
11426,25,24,2,2,3,33,1840,139
11425,25,24,2,2,3,33,1900,30
11357,22,2722,2,5,7,36,2180,116
11292,14,788,2,8,8,39,2170,103
11222,14,788,2,11,11,42,2300,116
11293,14,788,1,8,8,39,2720,NA
11291,14,788,2,8,10,39,2110,127
11377,14,788,2,5,6,36,2070,137
2729,14,788,2,5,7,36,2150,106
1266,14,788,2,5,7,36,1990,136
11376,14,788,2,5,7,36,2110,151
1257,14,788,2,8,9,39,2140,107
468,361,360,2,8,8,39,2380,160
11433,361,360,2,2,3,33,2300,90
2731,361,360,1,5,6,36,2530,NA
11374,14,26,1,5,7,36,2380,NA
95,14,26,1,5,5,36,2800,NA
11375,14,26,2,5,7,36,2230,111
11431,2751,26,1,2,3,33,2440,NA
1256,14,26,2,8,10,39,2210,129
1265,14,26,2,5,6,36,2170,146
2728,14,26,2,5,5,36,2120,153
11356,22,2721,2,5,6,36,2200,135
11278,22,2721,2,8,8,39,2200,137
11211,22,2721,2,11,11,42,2480,141
11219,25,2667,1,11,12,42,2610,NA
97,28,27,1,2,3,33,2540,NA
11416,22,1279,2,2,2,33,2320,109
11355,22,1279,2,5,6,36,2100,136
2663,22,1279,2,11,12,42,2200,113
11432,361,2752,2,2,2,33,2320,114
11221,14,84,2,11,12,42,2200,140
11290,14,84,2,8,8,39,2250,132
2668,14,84,2,11,12,42,2180,141
166,14,84,1,11,13,42,2370,NA
11220,14,84,1,11,13,42,2560,NA
11289,14,84,2,8,10,39,2070,117
11210,22,2720,2,11,13,42,2320,125
11354,22,2720,2,5,6,36,2120,131
11277,22,2720,1,8,8,39,2670,NA
11287,25,23,1,8,8,39,2530,NA
11422,25,23,1,2,3,33,2490,NA
174,25,23,2,2,3,33,2010,129
11286,25,23,1,8,9,39,2530,NA
2666,25,23,2,11,11,42,2390,134
76,25,23,1,14,14,45,2530,NA
11140,25,23,2,14,14,45,2160,139
1280,25,23,2,2,3,33,2160,120
175,25,23,2,2,2,33,2190,108
11217,25,23,1,11,11,42,2640,NA
2725,25,23,2,5,5,36,1950,148
11218,25,23,2,11,11,42,2280,125
2726,25,23,2,5,5,36,2080,151
11141,25,23,2,14,14,45,2190,141
11421,25,23,2,2,3,33,2120,135
11367,25,23,2,5,6,36,2060,130
11054,1254,1278,2,17,17,45,2290,109
11414,18,1278,1,2,4,30,2420,NA
2642,1254,1278,2,14,14,42,2200,134
11349,20,19,2,5,7,33,2250,63
11353,20,19,2,5,5,33,2370,132
11351,20,19,2,5,5,33,2250,122
92,20,19,2,5,7,33,2190,140
2747,20,19,2,2,4,30,1920,160
172,20,19,2,5,7,33,2120,113
11415,20,19,2,2,4,30,1980,112
2746,20,19,2,2,4,30,2060,147
11209,20,19,2,11,11,39,2260,128
2690,20,19,2,8,9,36,2240,115
11276,20,19,2,8,8,36,2330,128
11350,20,19,2,5,6,33,1990,145
11352,20,19,2,5,5,33,1980,139
2657,1272,1271,2,11,11,39,2240,119
11398,1272,1271,2,2,4,30,2070,123
2738,1272,1271,2,2,3,30,2250,156
11122,2659,2658,2,14,15,42,2200,107
11190,2659,2658,2,11,13,39,2140,129
773,17,578,2,14,16,42,2050,150
1264,17,578,2,5,6,33,2090,161
11269,17,578,2,8,10,36,2230,117
774,17,578,1,14,15,42,2580,NA
11341,17,578,2,5,5,33,2100,140
11132,17,578,1,14,14,42,2680,NA
2715,17,16,2,5,6,33,2040,169
11339,17,16,2,5,7,33,2100,156
11340,17,16,1,5,5,33,2580,NA
772,17,16,2,14,14,42,2240,153
784,17,16,2,8,8,36,2180,139
11268,17,16,2,8,9,36,2120,145
11267,17,16,2,8,9,36,2280,150
11266,17,16,2,8,10,36,2120,113
11338,17,16,2,5,7,33,2250,142
11264,17,16,2,8,10,36,2200,155
170,17,16,2,5,6,33,2200,131
2641,17,16,2,14,15,42,2110,152
11201,17,16,2,11,12,39,2110,159
2662,17,16,2,11,13,39,2290,167
2661,17,16,2,11,13,39,2160,116
11200,17,16,2,11,13,39,2210,153
82,17,16,2,11,12,39,2110,154
11265,17,16,2,8,10,36,2210,131
11405,17,16,2,2,4,30,2140,141
11407,17,16,2,2,3,30,2020,44
11406,17,16,2,2,4,30,2080,135
11131,17,16,2,14,15,42,2170,161
2716,17,16,2,5,6,33,2100,131
11348,20,2719,1,5,7,33,2350,NA
11397,1272,2737,2,2,3,30,2050,123
11121,1272,2737,2,14,16,42,2220,151
11189,1272,2737,2,11,13,39,2090,146
11403,17,1274,2,2,4,30,2100,86
11263,17,1274,1,8,10,36,2620,NA
11197,17,1274,2,11,13,39,2340,132
11262,17,1274,1,8,10,36,2500,NA
11198,17,1274,2,11,13,39,2070,135
11402,17,1274,2,2,4,30,2130,140
11199,17,1274,2,11,11,39,2140,150
11129,17,1274,2,14,14,42,2250,100
11337,17,1274,2,5,6,33,2010,127
11128,17,1274,2,14,16,42,2120,120
11404,17,1274,2,2,3,30,2100,102
11130,17,1274,2,14,14,42,2280,156
2640,17,1274,2,14,15,42,2310,129
11408,1275,2741,1,2,3,30,2360,NA
11413,18,2745,2,2,3,30,2280,128
11412,18,2745,2,2,4,30,2160,143
11136,1254,13,2,14,16,42,2180,132
90,18,13,2,5,5,33,2190,141
11344,18,13,1,5,5,33,2490,NA
11208,1254,13,2,11,13,39,2290,140
2739,17,1273,2,2,4,30,2090,114
2740,17,1273,2,2,4,30,2090,151
11336,17,1273,1,5,5,33,2560,NA
11052,17,1273,1,17,17,45,2630,NA
11202,1275,1253,2,11,13,39,2220,165
11203,1275,1253,2,11,11,39,2290,169
11271,1275,1253,2,8,8,36,2270,144
2688,1275,1253,2,8,10,36,2180,143
11270,1275,1253,1,8,10,36,2570,NA
11343,18,2718,2,5,6,33,2100,88
