id,sire,dam,use
1,NA,NA,2
2,NA,NA,2
3,NA,NA,1
4,NA,NA,2
5,NA,NA,1
6,NA,NA,1
7,NA,NA,2
8,NA,NA,1
9,NA,NA,2
10,NA,NA,1
11,NA,NA,2
12,NA,NA,1
13,NA,NA,2
14,NA,NA,1
15,NA,NA,2
16,NA,NA,2
17,NA,NA,1
18,NA,NA,1
19,NA,NA,2
20,NA,NA,1
21,NA,NA,2
22,NA,NA,1
23,NA,NA,2
24,NA,NA,2
25,NA,NA,1
26,NA,NA,2
27,NA,NA,2
28,NA,NA,1
29,NA,NA,2
30,NA,NA,2
31,NA,NA,1
32,NA,NA,2
33,NA,NA,1
34,NA,NA,2
35,NA,NA,2
36,NA,NA,2
37,NA,NA,1
38,NA,NA,2
39,NA,NA,1
40,NA,NA,1
41,NA,NA,2
42,NA,NA,1
43,NA,NA,2
44,NA,NA,2
45,NA,NA,2
46,NA,NA,1
47,NA,NA,2
48,NA,NA,1
49,NA,NA,2
50,NA,NA,1
51,NA,NA,2
52,NA,NA,1
53,NA,NA,2
54,NA,NA,1
55,NA,NA,2
56,NA,NA,1
57,NA,NA,2
58,NA,NA,1
59,NA,NA,2
60,NA,NA,2
61,NA,NA,1
62,NA,NA,2
63,NA,NA,1
64,NA,NA,2
65,NA,NA,2
66,NA,NA,2
67,NA,NA,1
68,NA,NA,2
69,NA,NA,1
70,NA,NA,2
71,NA,NA,1
72,NA,NA,2
73,NA,NA,2
74,NA,NA,1
75,5,4,2
76,25,23,1
77,NA,NA,2
78,NA,NA,1
79,3,1,2
80,6,2,2
81,6,2,1
82,17,16,2
83,22,21,1
84,NA,NA,2
85,8,7,2
86,10,9,2
87,NA,NA,2
88,12,11,1
89,17,15,1
90,18,13,2
91,NA,NA,2
92,20,19,2
93,25,24,1
94,NA,NA,2
95,14,26,1
96,31,30,2
97,28,27,1
98,NA,NA,2
99,NA,NA,1
100,31,29,2
101,33,32,2
102,81,79,1
103,83,82,2
104,76,75,2
105,83,80,1
106,81,79,2
107,93,92,1
108,89,96,1
109,93,86,1
110,93,92,2
111,95,85,2
112,97,100,2
113,39,38,1
114,40,34,2
115,46,45,2
116,48,47,2
117,54,53,2
118,54,53,1
119,54,53,2
120,61,35,2
121,61,60,1
122,88,90,1
123,97,101,2
124,NA,NA,2
125,46,43,1
126,58,44,2
127,61,60,2
128,97,101,1
129,37,36,1
130,NA,NA,2
131,42,41,1
132,50,49,2
133,54,53,2
134,46,45,1
135,48,47,2
136,52,51,1
137,54,53,1
138,56,55,2
139,58,57,2
140,61,59,2
141,61,60,2
142,67,66,2
143,63,62,2
144,56,55,1
145,58,57,2
146,NA,NA,2
147,NA,NA,2
148,61,60,2
149,NA,NA,2
150,69,68,2
151,78,64,2
152,67,65,1
153,67,65,2
154,NA,NA,1
155,74,73,1
156,71,70,1
157,71,70,2
158,78,77,2
159,5,72,2
160,6,2,1
161,71,70,2
162,78,77,2
163,17,15,2
164,17,15,2
165,25,94,2
166,14,84,1
167,31,29,1
168,10,87,2
169,17,15,2
170,17,16,2
171,20,91,1
172,20,19,2
173,22,21,1
174,25,23,2
175,25,23,2
176,99,98,1
177,33,32,2
178,102,103,1
179,105,104,2
180,105,104,1
181,109,112,2
182,107,106,1
183,108,110,2
184,113,115,1
185,121,123,2
186,109,111,1
187,121,114,1
188,122,117,2
189,136,135,2
190,136,135,1
191,137,140,2
192,137,140,2
193,118,120,2
194,121,116,1
195,121,119,2
196,128,127,1
197,131,133,2
198,136,135,2
199,136,141,1
200,144,150,1
201,144,151,2
202,125,126,2
203,129,132,1
204,136,135,2
205,136,135,1
206,136,141,2
207,144,148,2
208,152,161,2
209,134,139,2
210,134,143,1
