"id","sire","dam","gen","lay_shed","x0","genotype","l1","l2","l3"
1,0,0,0,4,-0.035225778,1,-0.559534061,0.065313023,0.263540241
2,0,0,0,2,0.461906025,0,-2.302526817,-0.94674219,-2.771975323
3,0,0,0,3,0.889669732,0,0.941569328,-1.829125151,-1.187270782
4,0,0,0,3,-1.032190187,1,0.362897643,-0.864513237,-1.093434112
5,0,0,0,2,0.808177587,1,1.345221869,0.322083991,-0.164147171
6,0,0,0,2,-0.55439726,1,-0.181109655,0.748617238,-0.707586193
7,0,0,0,2,-2.360295453,1,-0.962430724,-1.333392365,-0.027013829
8,0,0,0,2,0.643477304,0,-0.5981747,0.962850728,0.611633017
9,0,0,0,2,0.865851766,0,1.086164276,-0.11116508,-1.193623352
10,0,0,0,3,-0.331004663,2,1.303581137,-0.431179965,0.508219857
11,0,0,0,1,0.686199588,0,-0.32832208,0.435455772,-0.290950708
12,0,0,0,4,0.680150598,1,1.093808948,1.035081175,0.847877894
13,0,0,0,1,-1.023437271,1,0.688146275,0.44427704,-2.336232367
14,0,0,0,3,0.327291003,0,-0.282372783,0.412963432,-1.185129377
15,0,0,0,2,1.183357203,0,0.320283451,0.081656106,-3.218775173
16,0,0,0,4,-0.072353502,0,-1.410386897,-1.746432377,-0.316334694
17,0,0,0,3,-0.489578853,0,0.019850023,-0.563033993,-0.865192393
18,0,0,0,4,0.319790657,0,-2.359087994,-0.663794768,-0.791055824
19,0,0,0,2,-0.494134446,1,1.153756317,1.386534967,1.19580621
20,0,0,0,3,0.140799938,1,-1.299066026,-0.512718034,1.525375247
21,0,0,0,4,-0.642296527,0,0.468729481,-0.945641859,0.543058203
22,0,0,0,1,-1.378348539,0,-0.662485053,0.367223269,0.188987342
23,0,0,0,3,0.058232688,1,-1.31747482,-2.906494685,-0.328150633
24,0,0,0,4,0.358665343,0,-0.883804225,0.619544289,-0.283416201
25,0,0,0,4,-0.82226282,1,0.00144637599999997,-1.201212979,-0.753644236
26,0,0,0,4,-0.255361054,0,-2.347156551,-1.546303495,-1.870041387
27,0,0,0,3,-0.792420423,1,0.124244052,0.011668146,0.617649562
28,0,0,0,3,0.140505789,1,1.627315785,-0.910148267,1.037479727
29,0,0,0,4,-0.297242969,1,0.929987684,0.079748912,1.170117783
30,0,0,0,4,-1.543602856,0,-0.791804108,0.554338325,-0.93348803
31,0,0,0,4,0.134860351,0,-1.037811037,0.314281425,-0.646847063
32,0,0,0,4,0.014743818,0,-2.441688436,-2.88422539,-0.366427025
33,0,0,0,3,1.32206378,2,1.626858941,0.104281555,0.225931914
34,0,0,0,4,0.624409953,1,-1.373082261,-0.6963088,0.867890533
35,0,0,0,4,-2.36955197,0,0.099886482,0.03774498,-2.091203666
36,0,0,0,3,0.209288657,2,-0.953382065,1.099969564,-0.769988206
37,0,0,0,3,0.030233497,0,-1.724794242,-0.802422197,-1.471047085
38,0,0,0,4,-1.987016734,0,-1.769587632,-1.490193562,0.241880796
39,0,0,0,4,-0.497163956,1,1.123573773,-0.893450053,1.500164681
40,0,0,0,4,-0.564500024,0,-1.855822293,-0.525434085,-0.935146532
41,0,0,0,3,1.645297069,0,0.414949762,1.045128428,0.152380525
42,0,0,0,3,0.6731798,0,1.250465553,0.597803004,-1.182395124
43,0,0,0,4,-0.88491816,1,0.188657874,-0.656838836,-1.419895656
44,0,0,0,4,0.581226053,2,2.357557023,-0.11537967,1.841362589
45,0,0,0,3,-0.438496165,1,-0.193040359,-1.176877785,-0.930751467
46,0,0,0,1,1.471082206,2,1.081148076,0.08391897,1.641931144
47,0,0,0,1,0.794047141,1,0.476537794,-1.692010839,-0.392215996
48,0,0,0,2,-0.067561985,1,0.150248525,-1.283483775,0.651320046
49,0,0,0,2,0.488244062,2,1.859770123,0.283333349,1.331739725
50,0,0,0,3,1.659812707,0,0.057016093,-0.20602638,-1.695733433
51,0,0,0,3,-0.725700963,0,-1.78973552,-0.813856966,-1.665256919
52,0,0,0,3,-0.195320973,0,0.195448379,1.484315542,-0.381903618
53,0,0,0,4,0.924106005,0,-1.42305061,0.059918803,-1.296049792
54,0,0,0,3,-1.634429666,0,-2.262932227,-0.380398996,-1.733023858
55,0,0,0,4,0.358100566,1,1.493864694,0.087531098,1.20372048
56,0,0,0,4,0.023475128,0,1.18093019,0.971491564,0.09896031
57,0,0,0,3,-1.730749268,1,1.376146174,0.116696359,2.29064278
58,0,0,0,2,-1.216920575,1,0.065894485,-0.07564583,-0.506479459
59,0,0,0,4,1.623731572,1,1.77810304,0.082525981,1.504164267
60,0,0,0,3,-0.153567556,1,0.648858503,-0.94946433,-0.050561831
61,0,0,0,4,2.514062491,0,-1.666639186,-0.90107513,-1.751269912
62,0,0,0,3,-0.813701751,1,1.731486128,0.018024808,1.857996502
63,0,0,0,2,-2.407365176,1,0.120125632,-0.54247832,0.524161576
64,0,0,0,4,-1.83570286,1,-0.694750402,-1.193061625,-0.01810572
65,0,0,0,2,0.827209198,0,-0.723361038,-0.00767098199999999,-1.439378786
66,0,0,0,3,0.246653702,0,0.234898086,0.186572504,-1.067784118
67,0,0,0,3,1.983129918,1,-0.125911376,-0.691894819,0.395753134
68,0,0,0,1,0.38586834,1,1.131417882,-0.298617357,-0.934477044
69,0,0,0,3,-0.199636749,0,-1.168845923,-0.230229986,-0.574292346
70,0,0,0,3,0.832882689,2,-0.325648325,0.386714527,0.739025185
71,0,0,0,4,1.719603887,1,0.246529872,-0.915132706,0.580489677
72,0,0,0,4,0.173065023,0,-0.287167767,1.225691289,-1.436192404
73,0,0,0,4,0.377819125,0,-0.74887498,1.971400188,1.17639947
74,0,0,0,2,0.235139277,1,1.959211805,0.136049799,0.863046063
75,0,0,0,4,-0.518972493,1,-0.681192792,1.320464304,1.374637121
76,0,0,0,2,1.317661711,1,-0.57458652,0.104784193,-0.457806558
77,0,0,0,2,-0.486570196,0,-1.552841135,-0.396264165,-1.167576252
78,0,0,0,3,-1.293088376,0,1.037710233,-0.279143741,0.287274182
79,0,0,0,2,0.910944712,1,0.525168759,-0.166573639,0.481831644
80,0,0,0,2,-0.341003398,1,0.791828915,-0.399208185,-1.169749713
81,0,0,0,2,-0.245207119,0,-1.469177608,0.971607724,-0.73403301
82,0,0,0,3,0.815116058,2,2.120743543,0.0655629050000001,0.025717899
83,0,0,0,3,-0.871984114,0,0.4762833,-0.119530386,1.135803107
84,0,0,0,4,-0.528876356,1,-0.247003901,-0.083951426,1.827033037
85,0,0,0,4,-1.231932245,1,1.290029797,0.974331229,-0.593634348
86,0,0,0,2,-1.47712545,2,-0.406984859,1.182427587,-0.181294597
87,0,0,0,1,0.13786593,1,1.207628867,0.952221148,-0.319317966
88,0,0,0,1,0.772151532,1,-1.699051176,-0.790556976,1.00384617
89,0,0,0,2,0.494778729,1,2.191193571,1.250439398,1.844644454
90,0,0,0,3,1.237650329,0,-0.79232038,-0.265716156,-1.482741337
91,0,0,0,3,-1.047851701,0,-0.814256872,-0.360390076,1.072087937
92,0,0,0,4,-0.707962869,0,-0.611572605,0.580324458,-1.035084485
93,0,0,0,4,0.961803951,0,-0.562438586,-0.594652682,1.228358593
94,0,0,0,3,0.186701762,0,0.079365198,-0.187094643,-0.220163227
95,0,0,0,3,-0.156990897,0,-1.868979187,-0.581437102,-1.353703242
96,0,0,0,2,1.762952147,0,-0.698924144,-1.678513181,-2.139243231
97,0,0,0,1,-0.279489475,2,1.805800626,-0.330379753,0.609279645
98,0,0,0,2,1.642505601,0,-1.054641004,-1.175420605,-0.013022881
99,0,0,0,4,1.466338624,1,-0.338216225,-0.85186482,-0.863358593
100,0,0,0,4,-0.006426916,0,-1.069414667,-1.873103282,-1.25700478
101,0,0,0,2,2.94980932,0,1.162577421,0.202177774,-0.809272615
102,0,0,0,4,1.120828573,0,-1.056466568,-0.223332402,-1.367107015
103,0,0,0,3,-0.334386288,1,1.307864143,0.609981142,1.417351458
104,0,0,0,3,1.277345039,1,2.053004352,0.752452057,0.827743248
105,0,0,0,1,-0.511460862,2,0.824619781,-0.139030382,3.099140605
106,0,0,0,3,0.834473182,0,-0.638419684,0.360011048,-0.444295946
107,0,0,0,3,-0.194608319,1,2.818628651,0.737187267,-0.339310071
108,0,0,0,2,-1.718315945,0,-1.284690473,-1.010201271,-1.031050628
109,0,0,0,3,0.151181089,0,0.823581615,0.212567956,-1.095276722
110,0,0,0,1,1.128352933,0,-2.953469289,-1.997301204,-2.665423343
111,0,0,0,3,0.770611524,1,1.361176801,-0.30149027,0.249201908
112,0,0,0,4,-0.367423334,0,0.472596327,0.364437812,-0.787881182
113,0,0,0,4,0.52621195,1,-0.213509523,-0.464459952,0.273511246
114,0,0,0,4,0.419113323,1,0.614670035,-0.179099313,-0.754556973
115,0,0,0,3,-1.004711044,0,0.103138375,-1.877162601,-1.641953335
116,0,0,0,2,2.123929113,1,-1.675863318,0.502065267,-1.507585879
117,0,0,0,4,-0.68364585,0,-0.777401025,0.037883336,-2.254793545
118,0,0,0,3,1.03967578,1,0.397911055,0.054306419,-1.178167399
119,0,0,0,2,-0.19182768,0,-0.695486921,0.396091635,-1.213227456
120,0,0,0,3,1.3482696,1,-0.011400132,-1.428863128,0.625796735
121,0,0,0,4,-0.600171717,0,1.656532572,0.693210643,-2.126693599
122,0,0,0,4,0.415529309,0,-0.645577453,-0.987070518,-0.82390621
123,0,0,0,3,0.83057918,1,-0.349257084,0.630801252,-0.937268729
124,0,0,0,4,1.708497665,0,-1.91714101,-0.849633864,-0.734788189
125,0,0,0,3,-0.349233908,0,-1.603749942,-0.99462908,-1.106985649
126,0,0,0,3,0.007595217,0,-1.050761031,-0.451215351,-0.349435658
127,0,0,0,3,-0.669945145,1,1.608302483,-0.733946034,1.54839317
128,0,0,0,2,-1.615525626,2,1.78777211,-0.171022031,2.567278172
129,0,0,0,3,-0.845527199,0,-2.763803579,-2.357333524,-1.713878052
130,0,0,0,2,-0.33967925,0,-0.088443682,-0.538733828,-0.755484586
131,0,0,0,4,0.401379275,1,-0.878406267,-0.766212393,-0.199257067
132,0,0,0,1,1.521875296,1,-0.493623562,-0.824822471,-1.4846949
133,0,0,0,4,-0.001930341,0,-1.431701154,0.534314552,-0.024347081
134,0,0,0,4,-0.267443872,0,-2.187159914,-1.262209375,0.093135253
135,0,0,0,4,0.891766582,1,1.895316508,-1.80044981,-1.080678108
136,0,0,0,3,-1.51761107,1,-1.470292394,-1.68242668,-2.006265494
137,0,0,0,2,0.185532245,0,-0.543978053,0.668447619,-1.356576192
138,0,0,0,4,-0.804099697,1,0.688316599,1.592771603,0.561476129
139,0,0,0,2,0.334956968,1,0.564408152,0.853196235,-0.969136848
140,0,0,0,1,-2.488346505,0,-1.477127465,0.498544834,-0.264409679
141,0,0,0,2,1.165569813,1,-1.877615759,-1.817159925,0.772138925
142,0,0,0,1,0.159402049,1,-2.022837436,-0.940621969,1.345454208
