"id","sire","dam","gen","genotype"
1,NA,NA,0,1
2,NA,NA,0,0
3,NA,NA,0,0
4,NA,NA,0,1
5,NA,NA,0,1
6,NA,NA,0,1
7,NA,NA,0,1
8,NA,NA,0,0
9,NA,NA,0,0
10,NA,NA,0,2
11,NA,NA,0,0
12,NA,NA,0,1
13,NA,NA,0,1
14,NA,NA,0,0
15,NA,NA,0,0
16,NA,NA,0,0
17,NA,NA,0,0
18,NA,NA,0,0
19,NA,NA,0,1
20,NA,NA,0,1
21,NA,NA,0,0
22,NA,NA,0,0
23,NA,NA,0,1
24,NA,NA,0,0
25,NA,NA,0,1
26,NA,NA,0,0
27,NA,NA,0,1
28,NA,NA,0,1
29,NA,NA,0,1
30,NA,NA,0,0
31,NA,NA,0,0
32,NA,NA,0,0
33,NA,NA,0,2
34,NA,NA,0,1
35,NA,NA,0,0
36,NA,NA,0,2
37,NA,NA,0,0
38,NA,NA,0,0
39,NA,NA,0,1
40,NA,NA,0,0
41,NA,NA,0,0
42,NA,NA,0,0
43,NA,NA,0,1
44,NA,NA,0,2
45,NA,NA,0,1
46,NA,NA,0,2
47,NA,NA,0,1
48,NA,NA,0,1
49,NA,NA,0,2
50,NA,NA,0,0
51,NA,NA,0,0
52,NA,NA,0,0
53,NA,NA,0,0
54,NA,NA,0,0
55,NA,NA,0,1
56,NA,NA,0,0
57,NA,NA,0,1
58,NA,NA,0,1
59,NA,NA,0,1
60,NA,NA,0,1
61,NA,NA,0,0
62,NA,NA,0,1
63,NA,NA,0,1
64,NA,NA,0,1
65,NA,NA,0,0
66,NA,NA,0,0
67,NA,NA,0,1
68,NA,NA,0,1
69,NA,NA,0,0
70,NA,NA,0,2
71,NA,NA,0,1
72,NA,NA,0,0
73,NA,NA,0,0
74,NA,NA,0,1
75,NA,NA,0,1
76,NA,NA,0,1
77,NA,NA,0,0
78,NA,NA,0,0
79,NA,NA,0,1
80,NA,NA,0,1
81,NA,NA,0,0
82,NA,NA,0,2
83,NA,NA,0,0
84,NA,NA,0,1
85,NA,NA,0,1
86,NA,NA,0,2
87,NA,NA,0,1
88,NA,NA,0,1
89,NA,NA,0,1
90,NA,NA,0,0
91,NA,NA,0,0
92,NA,NA,0,0
93,NA,NA,0,0
94,NA,NA,0,0
95,NA,NA,0,0
96,NA,NA,0,0
97,NA,NA,0,2
98,NA,NA,0,0
99,NA,NA,0,1
100,NA,NA,0,0
101,NA,NA,0,0
102,NA,NA,0,0
103,NA,NA,0,1
104,NA,NA,0,1
105,NA,NA,0,2
106,NA,NA,0,0
107,NA,NA,0,1
108,NA,NA,0,0
109,NA,NA,0,0
110,NA,NA,0,0
111,NA,NA,0,1
112,NA,NA,0,0
113,NA,NA,0,1
114,NA,NA,0,1
115,NA,NA,0,0
116,NA,NA,0,1
117,NA,NA,0,0
118,NA,NA,0,1
119,NA,NA,0,0
120,NA,NA,0,1
121,NA,NA,0,0
122,NA,NA,0,0
123,NA,NA,0,1
124,NA,NA,0,0
125,NA,NA,0,0
126,NA,NA,0,0
127,NA,NA,0,1
128,NA,NA,0,2
129,NA,NA,0,0
130,NA,NA,0,0
131,NA,NA,0,1
132,NA,NA,0,1
133,NA,NA,0,0
134,NA,NA,0,0
135,NA,NA,0,1
136,NA,NA,0,1
137,NA,NA,0,0
138,NA,NA,0,1
139,NA,NA,0,1
140,NA,NA,0,0
141,NA,NA,0,1
142,NA,NA,0,1
143,NA,NA,0,0
144,NA,NA,0,2
145,NA,NA,0,0
146,NA,NA,0,0
147,NA,NA,0,0
148,NA,NA,0,0
149,NA,NA,0,0
150,NA,NA,0,0
151,NA,NA,0,1
152,NA,NA,0,1
153,NA,NA,0,1
154,NA,NA,0,0
155,NA,NA,0,1
156,NA,NA,0,1
157,NA,NA,0,1
158,NA,NA,0,0
159,NA,NA,0,1
160,NA,NA,0,1
161,NA,NA,0,2
162,NA,NA,0,0
163,NA,NA,0,0
164,NA,NA,0,1
165,NA,NA,0,1
166,NA,NA,0,1
167,NA,NA,0,0
168,NA,NA,0,1
169,NA,NA,0,0
170,NA,NA,0,1
171,NA,NA,0,0
172,NA,NA,0,0
173,NA,NA,0,0
174,NA,NA,0,1
175,NA,NA,0,0
176,NA,NA,0,0
177,NA,NA,0,1
178,NA,NA,0,0
179,NA,NA,0,1
180,NA,NA,0,1
181,NA,NA,0,1
182,NA,NA,0,0
183,NA,NA,0,1
184,NA,NA,0,1
185,NA,NA,0,0
186,NA,NA,0,2
187,NA,NA,0,0
188,NA,NA,0,0
